created_at,id,clean_text,favorite_count,retweet_count,original_tweet,tweet_media,hashtag_text,mention_names,in_reply_to_screen_name,in_reply_to_status_id,is_quote_status,is_diplomatic,entities_mentioned
11/18/19 20:37,1.20E+18,I look forward to joining @JensStoltenberg and @NATO Allied Ministers at the #ForMin in Brussels. #WeAreNATO because of the Alliance’s commitment to adapt to global challenges. We’ll honor that legacy by remaining #AlliedStrong in the face of today’s emerging security threats.,694,206,TRUE,,"['ForMin', 'WeAreNATO', 'AlliedStrong']","['Jens Stoltenberg', 'NATO']",,,FALSE,1,['NATO']
11/18/19 20:19,1.20E+18,The U.S. is increasing pressure on ISIS’ resources &amp; networks with new sanctions on nine individuals and organizations. ISIS remains a threat to global security and stability. We will keep working in partnership with the Global @Coalition to disrupt its financial networks.,1739,543,TRUE,,,['The Global Coalition'],,,FALSE,1,"['ISIS','Global Coalition']"
11/18/19 19:19,1.20E+18,A pleasure meeting Foreign Minister @Christodulides today. The U.S. and #Cyprus are important partners in the Eastern Mediterranean region. I welcome the one-year anniversary of the Statement of Intent to strengthen our bilateral security relationship. ,837,313,TRUE,photo,['Cyprus'],['NikosChristodoulides'],,,FALSE,1,"['Cyprus','Eastern Mediterranean']"
11/18/19 16:40,1.20E+18,"We applaud the people of #SriLanka on their democratic election and stand ready to work with them and the President to uphold Sri Lanka’s commitments on security sector reform, accountability, and respect for human rights.",1823,428,TRUE,,['SriLanka'],,,,FALSE,1,['Sri Lanka']
11/17/19 1:10,1.20E+18,"An inspiring sight as Venezuelans speak out against Maduro’s repression. The people of #Venezuela are standing up for #Democracy, #HumanRights, and a better future for their country. We stand with them, as should all democratic countries, until they restore democracy. ",4216,1658,TRUE,photo,"['Venezuela', 'Democracy', 'HumanRights']",,,,FALSE,1,['Venezuela']
11/17/19 0:20,1.20E+18,International support for @JGuaido continues to grow. Thank you interim President @JeanineAnez for #Bolivia’s recognition of the legitimate leader of #Venezuela — 58 countries now stand with the Venezuelan people in their struggle for a return to democracy. #TodoVzlaDespierta,3150,1170,TRUE,,"['Bolivia', 'Venezuela', 'TodoVzlaDespierta']","['Juan Guaidó', 'Jeanine Añez Chavez']",,,FALSE,1,['Venezuela']
11/16/19 23:52,1.20E+18,"Countries are standing up for human rights. We commend countries like #Bolivia, #Ecuador, and #PapuaNewGuinea for refusing to allow the Cuban regime to profit from the trafficking of doctors.",3384,1030,TRUE,,"['Bolivia', 'Ecuador', 'PapuaNewGuinea']",,,,FALSE,1,"['Bolivia','Ecuador','Papua New Guinea']"
11/16/19 23:17,1.20E+18,"Happy to see the courts agree: Hoda Muthana, a terrorist who moved to Syria to join the Islamic State, is not a U.S. citizen and never was. She will find no refuge on our shores. ",8058,2541,TRUE,,,,,,TRUE,1,['ISIS']
11/16/19 22:55,1.20E+18,"Under Julio César Gandarilla Bermejo, Cuba’s Interior Ministry has engaged in gross violations of #HumanRights in Venezuela, arbitrarily arrested thousands of Cuban citizens, and unlawfully detained 100+ political prisoners. Today we hold him accountable. ",1613,693,TRUE,,['HumanRights'],,,,FALSE,1,"['Cuba','Venezuela']"
11/16/19 21:34,1.20E+18,"Venezuelans continue to take to the streets, as they have day after day, in city after city, to demand their basic needs be met. Maduro’s illegitimate corrupt regime attempts to silence them, but as the world saw in #Bolivia, the will of the people will always prevail.",8149,2964,TRUE,,['Bolivia'],,,,FALSE,1,['Venezuela']
11/16/19 20:27,1.20E+18,As I said to the people of Iran almost a year and a half ago: The United States is with you. ,11420,4660,TRUE,,,,,,TRUE,1,['Iran']
11/16/19 14:00,1.20E+18,The way forward is clear: continued pressure until Iran negotiates a comprehensive agreement that includes halting its support to terror groups like PIJ. Nations around the world can no longer claim to want peace in the region yet allow Iran’s threats to go unchallenged.,2886,820,TRUE,,,,SecPompeo,1.20E+18,FALSE,1,['Iran']
11/16/19 13:59,1.20E+18,"Iran uses its terrorist proxy Palestinian Islamic Jihad to strike our great ally Israel. Iran does not want peace in the region. It does not want the Palestinian people to prosper. It wants more conflict. Until we address Iran’s threats, the cycle of violence will continue.",7013,2396,TRUE,,,,,,FALSE,1,"['Iran','Palestine']"
11/15/19 22:59,1.20E+18,"Today I announced the latest update to the #Cuba Restricted List, adding 5 hotels owned by the Cuban military. U.S. funds must not directly support Cuba's state security apparatus, which violates the human rights of its people and materially supports the former Maduro regime.",2622,800,TRUE,,['Cuba'],,,,FALSE,1,['Cuba']
11/15/19 22:06,1.20E+18,"The hunger for human freedom always prevails, as it did with the fall of the Berlin Wall &amp; the end of apartheid in South Africa. This same hunger is unfolding today in places like Iran, Venezuela, &amp; Hong Kong. Those who long for freedom will triumph. ",17966,12714,TRUE,video,,,,,FALSE,1,"['Germany','South Africa','Venezuela','Hong Kong','Iran']"
11/15/19 21:40,1.20E+18,"Former Secretary Baker once eloquently wrote that we should never underestimate ""the ordinary men and women” &amp; their desire to be free. Glad to join him &amp; the world's future leaders today @BakerInstitute. To you, I say: always stand with the brave freedom seekers of the world. ",956,274,TRUE,photo,,['Baker Institute'],,,FALSE,0,
11/15/19 21:08,1.20E+18,"12 countries. 68k patients treated. 1,257 surgeries. As the #USNSComfort completes its mission, I’m proud of our enduring commitment to the Western Hemisphere, including the people of #Venezuela, many of whom have fled Maduro’s illegitimate regime. Welcome home, shipmates! ",2108,712,TRUE,photo,"['USNSComfort', 'Venezuela']",,,,FALSE,1,"['Western Hemisphere','Venezuela']"
