created_at,id,clean_text,favorite_count,retweet_count,original_tweet,tweet_media,hashtag_text,mention_names,in_reply_to_screen_name,in_reply_to_status_id,is_quote_status,is_diplomatic,entities_mentioned
11/18/19 16:06,1.20E+18,“Congressman Van Drew (D-NJ) SLAMS Democrats for ‘fracturing the Nation’ with Impeachment probe. ‘We already know how it’s going to end.” @FoxNews,71620,19058,TRUE,,,['Fox News'],,,FALSE,0,
11/18/19 16:01,1.20E+18,"Just finished a very good &amp; cordial meeting at the White House with Jay Powell of the Federal Reserve. Everything was discussed including interest rates, negative interest, low inflation, easing, Dollar strength &amp; its effect on manufacturing, trade with China, E.U. &amp; others, etc.",75966,17482,TRUE,,,,,,FALSE,0,
11/18/19 13:52,1.20E+18,"....that I testify about the phony Impeachment Witch Hunt. She also said I could do it in writing. Even though I did nothing wrong, and don’t like giving credibility to this No Due Process Hoax, I like the idea &amp; will, in order to get Congress focused again, strongly consider it!",55145,13883,TRUE,,,,realDonaldTrump,1.20E+18,FALSE,0,
11/18/19 13:52,1.20E+18,"Our Crazy, Do Nothing (where’s USMCA, infrastructure, lower drug pricing &amp; much more?) Speaker of the House, Nervous Nancy Pelosi, who is petrified by her Radical Left knowing she will soon be gone (they &amp; Fake News Media are her BOSS), suggested on Sunday’s DEFACE THE NATION....",74628,20480,TRUE,,,,,,FALSE,0,
11/18/19 12:29,1.20E+18,"Never has the Republican Party been so united as it is now. 95% A.R. This is a great fraud being played out against the American people by the Fake News Media &amp; their partner, the Do Nothing Democrats. The rules are rigged by Pelosi &amp; Schiff, but we are winning, and we will win!",129194,30170,TRUE,,,,,,FALSE,0,
11/18/19 3:39,1.20E+18,"“All they do is bring up witnesses who didn’t witness anything.” @KatrinaPierson @SteveHiltonx  Nothing matters except the two transcripts of the presidential calls, and the statement of no pressure put out by Ukraine!",67558,17559,TRUE,,,"['Katrina Pierson', 'steve hilton']",,,FALSE,1,['Ukraine']
11/18/19 2:40,1.20E+18,“The Impeachment started before he even became President.” @greggutfeld  @FoxNews,81576,19688,TRUE,,,"['GregGutfeld', 'Fox News']",,,FALSE,0,
11/17/19 20:12,1.20E+18,Where is the Fake Whistleblower?,132747,27425,TRUE,,,,,,FALSE,0,
11/17/19 20:08,1.20E+18,"Republicans &amp; others must remember, the Ukrainian President and Foreign Minister both said that there was no pressure placed on them whatsoever. Also, they didn’t even know the money wasn’t paid, and got the money with no conditions. But why isn’t Germany, France (Europe) paying?",66923,17412,TRUE,,,,,,FALSE,1,['Ukraine']
11/17/19 20:03,1.20E+18,"The Crazed, Do Nothing Democrats are turning Impeachment into a routine partisan weapon. That is very bad for our Country, and not what the Founders had in mind!!!!",74658,18484,TRUE,,,,,,FALSE,0,
11/17/19 19:57,1.20E+18,"Tell Jennifer Williams, whoever that is, to read BOTH transcripts of the presidential calls, &amp; see the just released ststement from Ukraine. Then she should meet with the other Never Trumpers, who I don’t know &amp; mostly never even heard of, &amp; work out a better presidential attack!",69269,17581,TRUE,,,,,,FALSE,1,['Ukraine']
11/17/19 19:49,1.20E+18,"Paul Krugman of @nytimes has been wrong about me from the very beginning. Anyone who has followed his “words of wisdom” has lost a great deal of money. Paul, just concede the game, say I was right, and lets start a brand new game! ",39010,10562,TRUE,,,['The New York Times'],,,TRUE,0,
11/17/19 19:47,1.20E+18,Schiff is a Corrupt Politician! ,48461,15404,TRUE,,,,,,TRUE,0,
11/17/19 19:30,1.20E+18,".@SteveScalise blew the nasty &amp; obnoxious Chris Wallace (will never be his father, Mike!) away on Chris’s lowest rated (unless I’m on) morning show. This kind of dumb and unfair interview would never have happened in the @FoxNews past. Great job Steve!",61989,17048,TRUE,,,"['Steve Scalise', 'Fox News']",,,FALSE,0,
11/17/19 18:34,1.20E+18,Thanks Eric! ,46223,11589,TRUE,,,,,,TRUE,0,
11/17/19 17:43,1.20E+18,"Paul Krugman has called me wrong from day one. People at the Failing New York Times are very angry at him for having “missed” by soooo much. Paul, match over! ",36443,10100,TRUE,,,,,,TRUE,0,
11/17/19 17:12,1.20E+18,"I agree Katrina, Pam Bondi is a great woman! ",24916,5234,TRUE,,,,,,TRUE,0,
11/17/19 16:56,1.20E+18,The Do Nothing Dems are now doing even less - and soooo much work to be done!,76661,16148,TRUE,,,,,,FALSE,0,
11/17/19 16:51,1.20E+18,"Joe Ricketts, one of our Country’s most successful businessmen, including being the owner of the Chicago Cubs, has just written a great new book, THE HARDER YOU WORK, THE LUCKIER YOU GET. So true! Much can be learned from Joe. Go get the book!",40438,8666,TRUE,,,,,,FALSE,0,
11/17/19 16:38,1.20E+18,A BIG difference! ,25848,6695,TRUE,,,,,,TRUE,0,
11/17/19 16:08,1.20E+18,"Our great Farmers will recieve another major round of “cash,” compliments of China Tariffs, prior to Thanksgiving. The smaller farms and farmers will be big beneficiaries. In the meantime, and as you may have noticed, China is starting to buy big again. Japan deal DONE. Enjoy!",102657,25018,TRUE,,,,,,FALSE,1,['China']
11/17/19 15:02,1.20E+18,".@MariaBartiromo has a GREAT show going on right now, 10:00 A.M. Fantastic guests talk about the Fake Impeachment!  @FoxNews",34249,7691,TRUE,,,"['Maria Bartiromo', 'Fox News']",,,FALSE,0,
11/17/19 14:58,1.20E+18,"Mr. Chairman, Joe Biden may be Sleepy and Very Slow, but he is not a “rabid dog.” He is actually somewhat better than that, but I am the only one who can get you where you have to be. You should act quickly, get the deal done. See you soon! ",51342,13847,TRUE,,,,,,TRUE,0,
11/17/19 14:09,1.20E+18,"Dowd never understood the pulse of the Republican Party, present or past. He’s just a 3rd rate hit job for Fake News @ABC! ",34599,9344,TRUE,,,['ABC News'],,,TRUE,0,
11/17/19 13:51,1.20E+18,A new Republican Star is born. Great going @EliseStefanik! ,79926,20255,TRUE,,,['Elise Stefanik'],,,TRUE,0,
11/17/19 13:43,1.20E+18,Thank you Pete. Our great warfighters must be allowed to fight. I would not have done this for Sgt. Bergdahl or Chelsea Manning! ,51628,13939,TRUE,,,,,,TRUE,0,
11/17/19 5:09,1.20E+18,Visited a great family of a young man under major surgery at the amazing Walter Reed Medical Center. Those are truly some of the best doctors anywhere in the world. Also began phase one of my yearly physical. Everything very good (great!). Will complete next year.,90035,17922,TRUE,,,,,,FALSE,0,
11/16/19 18:48,1.20E+18,True! ,51344,15077,TRUE,,,,,,TRUE,0,
11/16/19 18:44,1.20E+18,Congratulations Kimberley. Great book! ,36351,8708,TRUE,,,,,,TRUE,0,
11/16/19 18:38,1.20E+18,"“I mean, come on. The Democrats are doing focus groups to try and figure out what words to use to move the needle. The Democrats know this is political and they’re just trying to drag Trump’s name into the mud!” Lisa Booth @foxandfriends Thank you Lisa!",71961,19006,TRUE,,,['FOX & friends'],,,FALSE,0,
11/16/19 17:57,1.20E+18,"“Triggered,” a great book by my son, Don. Now number one on @NYTIMES LIST. Keep it there for a while!",66536,13109,TRUE,,,['The New York Times'],,,FALSE,0,
11/16/19 15:38,1.20E+18,"....and Taylor, dismissing everybody involved from the Obama holdover days trying to undermine Trump, getting rid of those people, dismissing them, this is what it looks like. It was never going to be claen, they were never going to sit by idly and just let Trump do this!” Rush L",53710,13416,TRUE,,,,realDonaldTrump,1.20E+18,FALSE,0,
11/16/19 15:38,1.20E+18,"“My support for Donald Trump has never been greater than it is right now. It is paramountly obvious watching this, these people have to go. You elected Donald Trump to drain the Swamp, well, dismissing people like Yovanovitch is what that looks like. Dismissing people like Kent..",73051,18207,TRUE,,,,,,FALSE,0,
11/16/19 15:18,1.20E+18,"Dow hits 28,000 - FIRST TIME EVER, HIGHEST EVER! Gee, Pelosi &amp; Schitt have a good idea, “lets Impeach the President.” If something like that ever happened, it would lead to the biggest FALL in Market History. It’s called a Depression, not a Recession! So much for 401-K’s &amp; Jobs!",119673,28895,TRUE,,,,,,FALSE,0,
